Tools,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955256,1,OK,0.7170359,-0.4793864,-0.4990035,-0.0839261,92.428,-97.290,-162.019,0.0051676,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955256,1,OK,0.9428908,0.2755324,0.0534935,-0.1793800,-7.527,57.785,-260.599,0.0409295,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955264,1,OK,0.7170063,-0.4792395,-0.4991385,-0.0842150,92.419,-97.295,-161.991,0.0046474,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955264,1,OK,0.9429632,0.2764534,0.0521296,-0.1779789,-7.663,57.725,-260.808,0.0396034,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955272,1,OK,0.7170440,-0.4794659,-0.4989070,-0.0839773,92.410,-97.299,-161.972,0.0050836,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955272,1,OK,0.9429190,0.2768984,0.0515663,-0.1776852,-7.744,57.668,-260.913,0.0406473,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955280,1,OK,0.7170673,-0.4795629,-0.4988021,-0.0838482,92.404,-97.301,-161.976,0.0055592,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955280,1,OK,0.9427769,0.2772014,0.0514335,-0.1780047,-7.800,57.630,-260.922,0.0413833,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955288,1,OK,0.7170694,-0.4795183,-0.4988361,-0.0838827,92.404,-97.300,-161.982,0.0046114,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955288,1,OK,0.9431140,0.2768152,0.0508331,-0.1769895,-7.784,57.565,-260.872,0.0382631,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955296,1,OK,0.7170246,-0.4793105,-0.4990556,-0.0841469,92.409,-97.301,-161.990,0.0040400,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955296,1,OK,0.9432692,0.2762993,0.0510416,-0.1769086,-7.808,57.575,-260.702,0.0429117,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955304,1,OK,0.7170093,-0.4793191,-0.4990570,-0.0842201,92.401,-97.304,-161.956,0.0037065,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955304,1,OK,0.9433442,0.2761464,0.0509889,-0.1767625,-7.761,57.718,-260.654,0.0420919,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955312,1,OK,0.7170100,-0.4792215,-0.4991309,-0.0843317,92.399,-97.302,-161.959,0.0044864,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955312,1,OK,0.9435179,0.2754393,0.0510897,-0.1769096,-7.670,57.749,-260.516,0.0428594,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955320,1,OK,0.7170135,-0.4792544,-0.4990942,-0.0843319,92.396,-97.303,-161.952,0.0035102,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955320,1,OK,0.9434850,0.2749535,0.0516087,-0.1776882,-7.561,57.842,-260.309,0.0379096,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955328,1,OK,0.7170456,-0.4794501,-0.4988970,-0.0841127,92.391,-97.303,-161.932,0.0046140,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955328,1,OK,0.9434062,0.2740658,0.0526251,-0.1791740,-7.509,57.950,-260.004,0.0430136,0
