Tools,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1803232,1,OK,0.6880323,-0.3737154,-0.5949725,-0.1815381,88.090,-106.348,-162.066,0.0017960,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1803232,1,OK,0.9075205,0.4144972,-0.0276666,-0.0619120,-0.634,46.188,-314.263,0.0332899,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1803240,1,OK,0.6880535,-0.3737354,-0.5949502,-0.1814896,88.088,-106.346,-162.079,0.0022166,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1803240,1,OK,0.9075248,0.4145099,-0.0276422,-0.0617753,-0.626,46.188,-314.260,0.0330914,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1803248,1,OK,0.6879567,-0.3734969,-0.5951388,-0.1817289,88.096,-106.351,-162.058,0.0011662,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1803248,1,OK,0.9075401,0.4144764,-0.0275992,-0.0617942,-0.633,46.175,-314.250,0.0330887,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1803256,1,OK,0.6880097,-0.3737677,-0.5949921,-0.1814518,88.099,-106.356,-162.050,0.0017608,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1803256,1,OK,0.9075099,0.4145214,-0.0275629,-0.0619529,-0.634,46.182,-314.228,0.0330484,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1803264,1,OK,0.6880373,-0.3738564,-0.5949341,-0.1813547,88.103,-106.353,-162.064,0.0019573,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1803264,1,OK,0.9075058,0.4145356,-0.0276844,-0.0618622,-0.644,46.187,-314.215,0.0337910,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1803272,1,OK,0.6880240,-0.3737987,-0.5949820,-0.1813666,88.111,-106.350,-162.085,0.0016855,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1803272,1,OK,0.9075043,0.4145174,-0.0276730,-0.0620121,-0.642,46.172,-314.210,0.0331087,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1803280,1,OK,0.6880106,-0.3737819,-0.5950018,-0.1813871,88.115,-106.347,-162.093,0.0019070,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1803280,1,OK,0.9075563,0.4144489,-0.0278565,-0.0616250,-0.643,46.158,-314.227,0.0334455,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1803288,1,OK,0.6879695,-0.3737066,-0.5950577,-0.1815149,88.113,-106.348,-162.086,0.0010215,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1803288,1,OK,0.9075432,0.4144571,-0.0277481,-0.0618120,-0.627,46.161,-314.227,0.0345192,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1803296,1,OK,0.6879607,-0.3736601,-0.5950753,-0.1815863,88.110,-106.349,-162.089,0.0009496,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1803296,1,OK,0.9075416,0.4144271,-0.0275508,-0.0621239,-0.616,46.150,-314.211,0.0335352,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1803304,1,OK,0.6879630,-0.3737265,-0.5950575,-0.1814992,88.114,-106.354,-162.083,0.0012353,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1803304,1,OK,0.9075215,0.4144628,-0.0275158,-0.0621942,-0.616,46.164,-314.207,0.0336235,0
