Tools,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924208,1,OK,0.6866684,-0.3783958,-0.5915292,-0.1881390,86.024,-106.336,-162.074,0.0017472,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924208,1,OK,0.8542782,0.3687196,0.2285147,-0.2864187,-8.305,30.636,-311.796,0.0433138,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924216,1,OK,0.6865873,-0.3781812,-0.5916727,-0.1884152,86.020,-106.339,-162.057,0.0051036,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924216,1,OK,0.8542777,0.3687205,0.2285844,-0.2863636,-8.303,30.641,-311.818,0.0445672,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924224,1,OK,0.6865729,-0.3780838,-0.5917208,-0.1885121,86.010,-106.343,-162.062,0.0061111,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924224,1,OK,0.8542285,0.3687444,0.2286770,-0.2864053,-8.298,30.656,-311.806,0.0450232,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924232,1,OK,0.6865442,-0.3779661,-0.5918090,-0.1885759,86.018,-106.347,-162.085,0.0055489,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924232,1,OK,0.8541997,0.3686906,0.2287510,-0.2865014,-8.308,30.653,-311.799,0.0454160,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924240,1,OK,0.6865550,-0.3779609,-0.5917985,-0.1885798,86.019,-106.342,-162.095,0.0054498,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924240,1,OK,0.8542262,0.3688140,0.2286067,-0.2863786,-8.298,30.668,-311.787,0.0446542,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924248,1,OK,0.6866106,-0.3781051,-0.5916882,-0.1884345,86.013,-106.337,-162.096,0.0052690,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924248,1,OK,0.8542380,0.3688051,0.2285196,-0.2864244,-8.283,30.663,-311.790,0.0459764,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924256,1,OK,0.6866736,-0.3782154,-0.5915856,-0.1883054,86.003,-106.338,-162.105,0.0050266,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924256,1,OK,0.8541836,0.3687106,0.2286171,-0.2866304,-8.297,30.653,-311.810,0.0478700,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924264,1,OK,0.6866856,-0.3782334,-0.5915679,-0.1882810,86.003,-106.338,-162.115,0.0047548,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924264,1,OK,0.8541705,0.3685964,0.2286943,-0.2867548,-8.289,30.633,-311.793,0.0454312,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924272,1,OK,0.6866586,-0.3780974,-0.5916359,-0.1884388,86.003,-106.328,-162.122,0.0058779,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924272,1,OK,0.8542524,0.3686572,0.2286205,-0.2864915,-8.282,30.628,-311.768,0.0427315,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924280,1,OK,0.6866056,-0.3779446,-0.5917331,-0.1886337,86.001,-106.332,-162.114,0.0079843,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924280,1,OK,0.8542193,0.3687301,0.2285699,-0.2865369,-8.251,30.648,-311.765,0.0429268,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924288,1,OK,0.6867434,-0.3784378,-0.5914178,-0.1881311,85.996,-106.338,-162.096,0.0038893,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924288,1,OK,0.8541606,0.3687829,0.2285955,-0.2866233,-8.258,30.667,-311.766,0.0435551,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924296,1,OK,0.6867545,-0.3784328,-0.5914295,-0.1880640,86.008,-106.334,-162.120,0.0020870,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924296,1,OK,0.8541980,0.3687855,0.2284626,-0.2866145,-8.257,30.654,-311.751,0.0427524,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924304,1,OK,0.6867682,-0.3784645,-0.5914076,-0.1880190,86.015,-106.329,-162.123,0.0015050,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924304,1,OK,0.8542294,0.3687379,0.2283580,-0.2866656,-8.249,30.636,-311.755,0.0413168,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924312,1,OK,0.6867839,-0.3784939,-0.5913598,-0.1880528,85.997,-106.328,-162.094,0.0024000,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924312,1,OK,0.8543318,0.3687814,0.2282454,-0.2863939,-8.243,30.622,-311.757,0.0404536,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924320,1,OK,0.6868174,-0.3787305,-0.5912356,-0.1878446,85.995,-106.337,-162.063,0.0015110,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924320,1,OK,0.8543368,0.3686909,0.2283801,-0.2863881,-8.259,30.614,-311.791,0.0428448,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924328,1,OK,0.6867937,-0.3786994,-0.5912675,-0.1878933,86.002,-106.340,-162.060,0.0009613,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924328,1,OK,0.8542989,0.3688526,0.2284408,-0.2862446,-8.258,30.654,-311.777,0.0417325,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924336,1,OK,0.6867053,-0.3783847,-0.5914899,-0.1881501,86.018,-106.335,-162.089,0.0016767,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924336,1,OK,0.8543756,0.3690060,0.2282584,-0.2859634,-8.239,30.665,-311.763,0.0400754,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924344,1,OK,0.6866714,-0.3783121,-0.5915471,-0.1882401,86.019,-106.335,-162.083,0.0016086,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924344,1,OK,0.8543903,0.3689456,0.2282162,-0.2860310,-8.247,30.652,-311.773,0.0403751,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924352,1,OK,0.6866786,-0.3784564,-0.5914898,-0.1881038,86.022,-106.344,-162.067,0.0012044,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924352,1,OK,0.8543800,0.3689125,0.2281966,-0.2861201,-8.261,30.648,-311.824,0.0419119,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924360,1,OK,0.6866883,-0.3784857,-0.5914836,-0.1880288,86.029,-106.345,-162.086,0.0013463,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924360,1,OK,0.8543991,0.3689312,0.2282092,-0.2860289,-8.276,30.652,-311.835,0.0405806,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924368,1,OK,0.6867192,-0.3784969,-0.5914685,-0.1879411,86.033,-106.340,-162.116,0.0007615,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924368,1,OK,0.8544619,0.3689069,0.2282174,-0.2858660,-8.273,30.642,-311.845,0.0394375,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924376,1,OK,0.6868141,-0.3787847,-0.5912605,-0.1876685,86.022,-106.341,-162.104,0.0012787,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924376,1,OK,0.8543838,0.3687897,0.2284098,-0.2860971,-8.267,30.635,-311.844,0.0386263,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924384,1,OK,0.6868341,-0.3789366,-0.5911783,-0.1875477,86.016,-106.345,-162.070,0.0024799,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924384,1,OK,0.8543246,0.3687599,0.2285577,-0.2861939,-8.275,30.644,-311.871,0.0399514,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924392,1,OK,0.6867948,-0.3788466,-0.5912532,-0.1876374,86.027,-106.344,-162.083,0.0017526,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924392,1,OK,0.8541930,0.3687308,0.2286514,-0.2865491,-8.277,30.665,-311.869,0.0411053,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924400,1,OK,0.6867592,-0.3785585,-0.5914021,-0.1878798,86.026,-106.334,-162.122,0.0002724,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924400,1,OK,0.8541475,0.3687931,0.2285828,-0.2866594,-8.270,30.679,-311.855,0.0398528,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924408,1,OK,0.6867993,-0.3786491,-0.5913350,-0.1877621,86.023,-106.334,-162.123,0.0008336,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924408,1,OK,0.8542582,0.3686748,0.2284322,-0.2866017,-8.280,30.632,-311.858,0.0401337,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924416,1,OK,0.6868582,-0.3789260,-0.5911607,-0.1875362,86.019,-106.335,-162.097,0.0017275,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924416,1,OK,0.8541916,0.3685088,0.2286410,-0.2868472,-8.297,30.614,-311.874,0.0428199,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924424,1,OK,0.6869160,-0.3791249,-0.5910276,-0.1873421,86.018,-106.333,-162.103,0.0029011,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924424,1,OK,0.8540922,0.3685890,0.2288049,-0.2869095,-8.294,30.651,-311.865,0.0431931,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924432,1,OK,0.6869161,-0.3790307,-0.5910619,-0.1874242,86.011,-106.330,-162.119,0.0014469,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924432,1,OK,0.8540333,0.3686041,0.2289399,-0.2869574,-8.285,30.664,-311.845,0.0412444,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924440,1,OK,0.6868833,-0.3789207,-0.5911195,-0.1875850,86.003,-106.326,-162.101,0.0007019,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924440,1,OK,0.8540264,0.3685242,0.2290244,-0.2870134,-8.302,30.649,-311.833,0.0420615,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924448,1,OK,0.6868019,-0.3786555,-0.5912738,-0.1879321,85.999,-106.326,-162.088,0.0020587,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924448,1,OK,0.8540133,0.3685475,0.2289226,-0.2871036,-8.303,30.647,-311.803,0.0429963,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924456,1,OK,0.6868036,-0.3787523,-0.5912453,-0.1878205,86.003,-106.332,-162.089,0.0026870,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924456,1,OK,0.8540506,0.3686238,0.2287436,-0.2870374,-8.295,30.652,-311.810,0.0438569,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924464,1,OK,0.6867888,-0.3785900,-0.5913225,-0.1879587,85.996,-106.333,-162.114,0.0039458,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924464,1,OK,0.8541284,0.3686617,0.2286199,-0.2868556,-8.294,30.650,-311.809,0.0437439,0
