Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703640,1,OK,0.7127362,0.2359357,0.0245921,-0.6601036,28.289,3.738,-180.582,0.0474805,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703640,1,OK,0.8562890,0.4637581,-0.0585696,0.2196978,18.378,41.599,-242.748,0.0485787,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703640,1,OK,0.7048406,-0.3990769,-0.5550420,-0.1893824,101.272,-117.112,-161.966,0.0037037,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703648,1,OK,0.7109428,0.2341954,0.0253323,-0.6626244,28.563,4.192,-179.300,0.0447864,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703648,1,OK,0.8559944,0.4640986,-0.0580844,0.2202551,18.725,41.417,-243.081,0.0475495,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703648,1,OK,0.7048019,-0.3990505,-0.5551067,-0.1893926,101.279,-117.117,-161.978,0.0043346,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703656,1,OK,0.7115787,0.2323753,0.0250038,-0.6625951,28.575,4.578,-177.975,0.0482752,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703656,1,OK,0.8560746,0.4645917,-0.0567733,0.2192435,18.838,41.357,-242.975,0.0483631,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703656,1,OK,0.7047872,-0.3990383,-0.5551271,-0.1894131,101.275,-117.116,-161.973,0.0045817,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703664,1,OK,0.7138548,0.2315583,0.0220324,-0.6605352,28.205,4.688,-176.574,0.0418366,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703664,1,OK,0.8563013,0.4647618,-0.0561834,0.2181467,18.773,41.478,-242.568,0.0498625,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703664,1,OK,0.7048374,-0.3991927,-0.5550088,-0.1892475,101.272,-117.118,-161.974,0.0035068,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703672,1,OK,0.7120684,0.2315187,0.0224507,-0.6624603,27.650,4.027,-175.424,0.0403687,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703672,1,OK,0.8563680,0.4648323,-0.0562496,0.2177171,18.826,41.367,-243.021,0.0470806,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703672,1,OK,0.7047999,-0.3990622,-0.5551057,-0.1893781,101.278,-117.112,-161.986,0.0034914,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703680,1,OK,0.7103734,0.2326090,0.0241582,-0.6638366,26.990,3.104,-174.663,0.0445700,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703680,1,OK,0.8561726,0.4650221,-0.0567447,0.2179517,18.739,41.273,-243.218,0.0472974,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703680,1,OK,0.7048921,-0.3993318,-0.5548801,-0.1891278,101.265,-117.112,-161.965,0.0027741,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703688,1,OK,0.7114089,0.2324005,0.0223049,-0.6628649,26.061,3.189,-173.218,0.0501575,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703688,1,OK,0.8562189,0.4652939,-0.0569342,0.2171389,18.488,41.230,-243.187,0.0487098,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703688,1,OK,0.7048320,-0.3992181,-0.5549772,-0.1893070,101.263,-117.111,-161.939,0.0036378,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703696,1,OK,0.7133433,0.2334124,0.0189800,-0.6605299,25.143,2.824,-172.320,0.0512728,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703696,1,OK,0.8561590,0.4653900,-0.0576673,0.2169757,18.300,41.159,-243.207,0.0490607,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703696,1,OK,0.7049271,-0.3994939,-0.5547482,-0.1890420,101.256,-117.111,-161.925,0.0025782,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703704,1,OK,0.7107213,0.2354775,0.0210111,-0.6625588,24.843,1.882,-172.255,0.0485115,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703704,1,OK,0.8562102,0.4651780,-0.0574411,0.2172880,18.408,41.213,-243.056,0.0287791,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703704,1,OK,0.7049587,-0.3995956,-0.5546685,-0.1889427,101.250,-117.115,-161.925,0.0019764,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703712,1,OK,0.7118225,0.2360550,0.0207519,-0.6611778,24.515,1.511,-171.645,0.0448482,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703712,1,OK,0.8561530,0.4649899,-0.0585414,0.2176220,17.937,41.151,-242.924,0.0449746,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703712,1,OK,0.7049705,-0.3996622,-0.5546260,-0.1888830,101.250,-117.117,-161.921,0.0029443,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703720,1,OK,0.7125540,0.2365930,0.0208929,-0.6601925,24.293,1.081,-171.100,0.0478876,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703720,1,OK,0.8563845,0.4646971,-0.0584558,0.2173595,17.783,41.176,-242.826,0.0442725,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703720,1,OK,0.7049736,-0.3996504,-0.5546313,-0.1888808,101.256,-117.114,-161.915,0.0037332,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703728,1,OK,0.7109666,0.2374457,0.0222886,-0.6615506,24.260,0.376,-170.872,0.0491969,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703728,1,OK,0.8564276,0.4646780,-0.0592160,0.2170245,17.690,41.154,-242.971,0.0479410,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703728,1,OK,0.7050138,-0.3996725,-0.5545663,-0.1888749,101.247,-117.110,-161.909,0.0055016,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703736,1,OK,0.7087867,0.2382457,0.0243352,-0.6635271,24.365,-0.143,-170.548,0.0592708,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703736,1,OK,0.8562467,0.4649393,-0.0597898,0.2170213,17.482,41.135,-242.972,0.0516191,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703736,1,OK,0.7050229,-0.3996642,-0.5545563,-0.1888877,101.246,-117.109,-161.904,0.0065311,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703744,1,OK,0.7091381,0.2388921,0.0255526,-0.6628732,24.389,-0.782,-170.409,0.0529668,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703744,1,OK,0.8563291,0.4648347,-0.0603067,0.2167772,17.266,41.019,-242.984,0.0475000,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703744,1,OK,0.7050045,-0.3996942,-0.5545535,-0.1889010,101.251,-117.107,-161.900,0.0057063,0
