Tools,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1100960,1,OK,0.6816943,-0.3920504,-0.5815387,-0.2083319,87.808,-115.013,-161.900,0.0050966,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1100960,1,OK,0.8815272,0.4358480,-0.0873262,0.1591242,-6.694,36.086,-207.274,0.0421157,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1100960,1,OK,0.8783650,0.2598002,-0.0557939,-0.3973233,28.710,2.300,-189.188,0.0418062,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1100968,1,OK,0.6816975,-0.3920783,-0.5815265,-0.2083030,87.806,-115.015,-161.897,0.0062636,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1100968,1,OK,0.8816443,0.4357805,-0.0869553,0.1588627,-6.579,36.085,-207.280,0.0307556,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1100968,1,OK,0.8784824,0.2597389,-0.0561099,-0.3970593,28.670,2.306,-189.194,0.0421182,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1100976,1,OK,0.6816938,-0.3920763,-0.5815314,-0.2083049,87.806,-115.017,-161.893,0.0060462,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1100976,1,OK,0.8816330,0.4358416,-0.0865962,0.1589542,-6.431,36.094,-207.313,0.0219364,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1100976,1,OK,0.8786312,0.2597144,-0.0563146,-0.3967169,28.631,2.339,-189.190,0.0425683,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1100984,1,OK,0.6817590,-0.3922124,-0.5814240,-0.2081352,87.807,-115.017,-161.913,0.0061978,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1100984,1,OK,0.8818835,0.4362423,-0.0846198,0.1575236,-5.929,36.035,-207.208,0.0528868,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1100984,1,OK,0.8787055,0.2596641,-0.0565299,-0.3965546,28.601,2.357,-189.189,0.0433115,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1100992,1,OK,0.6816801,-0.3919855,-0.5815895,-0.2083583,87.809,-115.017,-161.918,0.0034645,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1100992,1,OK,0.8821090,0.4364452,-0.0834501,0.1563183,-5.736,36.031,-207.188,0.0547183,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1100992,1,OK,0.8789120,0.2595849,-0.0567850,-0.3961121,28.574,2.377,-189.188,0.0423722,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1101000,1,OK,0.6816593,-0.3919306,-0.5816279,-0.2084228,87.811,-115.015,-161.920,0.0024969,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1101000,1,OK,0.8820887,0.4364283,-0.0832674,0.1565775,-5.583,36.022,-207.241,0.0522549,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1101000,1,OK,0.8790439,0.2594691,-0.0570010,-0.3958643,28.552,2.388,-189.184,0.0425063,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1101008,1,OK,0.6817142,-0.3920880,-0.5815060,-0.2082872,87.802,-115.016,-161.908,0.0032836,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1101008,1,OK,0.8819221,0.4362640,-0.0836430,0.1577686,-5.503,36.027,-207.243,0.0484341,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1101008,1,OK,0.8790932,0.2593835,-0.0571120,-0.3957950,28.529,2.403,-189.186,0.0431062,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1101016,1,OK,0.6816985,-0.3920436,-0.5815299,-0.2083555,87.800,-115.016,-161.904,0.0033278,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1101016,1,OK,0.8820209,0.4364417,-0.0832611,0.1569245,-5.463,36.044,-207.190,0.0519014,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1101016,1,OK,0.8792169,0.2593163,-0.0572749,-0.3955404,28.506,2.422,-189.186,0.0438830,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1101024,1,OK,0.6816989,-0.3920191,-0.5815501,-0.2083437,87.802,-115.018,-161.914,0.0029411,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1101024,1,OK,0.8820295,0.4364091,-0.0832765,0.1569590,-5.473,36.040,-207.224,0.0513115,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1101024,1,OK,0.8792760,0.2592815,-0.0574495,-0.3954067,28.492,2.441,-189.182,0.0445283,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1101032,1,OK,0.6816793,-0.3919671,-0.5815983,-0.2083711,87.811,-115.018,-161.932,0.0025171,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1101032,1,OK,0.8819431,0.4362256,-0.0840025,0.1575663,-5.610,36.099,-207.309,0.0344168,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1101032,1,OK,0.8794191,0.2592710,-0.0576446,-0.3950668,28.473,2.471,-189.185,0.0444174,0
