Tools,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8962856,1,OK,0.6945062,-0.4079739,-0.5752922,-0.1423278,99.323,-107.423,-162.116,0.0029378,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8962856,1,OK,0.6091147,0.4739540,0.1515526,-0.6175586,5.431,-76.958,-243.508,0.0189005,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8962856,1,OK,0.6923546,0.5450236,-0.3162609,0.3515303,-15.163,-2.016,-304.595,0.0478074,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8962864,1,OK,0.6945258,-0.4080379,-0.5752499,-0.1422196,99.331,-107.420,-162.133,0.0025520,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8962864,1,OK,0.6091737,0.4739370,0.1515200,-0.6175215,5.424,-76.960,-243.518,0.0188568,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8962864,1,OK,0.6923078,0.5450041,-0.3163166,0.3516025,-15.155,-2.015,-304.595,0.0482010,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8962872,1,OK,0.6946223,-0.4083554,-0.5750015,-0.1418414,99.327,-107.417,-162.138,0.0030934,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8962872,1,OK,0.6091290,0.4738851,0.1515182,-0.6176059,5.425,-76.976,-243.524,0.0198904,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8962872,1,OK,0.6923257,0.5450407,-0.3162910,0.3515336,-15.149,-2.009,-304.599,0.0487678,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8962880,1,OK,0.6945660,-0.4081623,-0.5751467,-0.1420837,99.328,-107.418,-162.134,0.0029948,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8962880,1,OK,0.6090065,0.4738320,0.1515715,-0.6177544,5.429,-76.987,-243.520,0.0215556,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8962880,1,OK,0.6923536,0.5449983,-0.3162784,0.3515557,-15.149,-2.018,-304.582,0.0476498,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8962888,1,OK,0.6945640,-0.4081118,-0.5751513,-0.1422204,99.315,-107.416,-162.116,0.0035821,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8962888,1,OK,0.6090993,0.4738437,0.1515127,-0.6176683,5.429,-76.997,-243.516,0.0203943,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8962888,1,OK,0.6923517,0.5450092,-0.3162898,0.3515322,-15.136,-2.019,-304.576,0.0506264,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8962896,1,OK,0.6945146,-0.4080158,-0.5752549,-0.1423181,99.326,-107.419,-162.123,0.0038628,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8962896,1,OK,0.6091804,0.4738438,0.1514618,-0.6176006,5.429,-76.998,-243.522,0.0200264,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8962896,1,OK,0.6924000,0.5450346,-0.3162142,0.3514656,-15.144,-2.025,-304.583,0.0511589,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8962904,1,OK,0.6944900,-0.4079837,-0.5753251,-0.1422463,99.343,-107.423,-162.158,0.0033309,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8962904,1,OK,0.6093440,0.4738896,0.1513185,-0.6174393,5.438,-77.004,-243.518,0.0183618,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8962904,1,OK,0.6924511,0.5450706,-0.3161123,0.3514009,-15.142,-2.037,-304.584,0.0515475,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8962912,1,OK,0.6945099,-0.4081421,-0.5752358,-0.1420559,99.348,-107.427,-162.156,0.0033860,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8962912,1,OK,0.6093834,0.4739339,0.1512952,-0.6173721,5.435,-76.991,-243.506,0.0180718,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8962912,1,OK,0.6924029,0.5450450,-0.3162068,0.3514504,-15.135,-2.020,-304.589,0.0516063,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8962920,1,OK,0.6944868,-0.4081373,-0.5752831,-0.1419906,99.363,-107.431,-162.172,0.0037125,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8962920,1,OK,0.6094598,0.4738930,0.1512401,-0.6173415,5.418,-77.000,-243.515,0.0186965,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8962920,1,OK,0.6923865,0.5450719,-0.3161987,0.3514483,-15.142,-2.013,-304.588,0.0518895,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8962928,1,OK,0.6944692,-0.4080730,-0.5753339,-0.1420559,99.364,-107.433,-162.173,0.0030079,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8962928,1,OK,0.6094373,0.4739420,0.1512709,-0.6173186,5.416,-76.984,-243.520,0.0190697,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8962928,1,OK,0.6924528,0.5450746,-0.3161511,0.3513563,-15.142,-2.023,-304.570,0.0507518,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8962936,1,OK,0.6945047,-0.4081676,-0.5752562,-0.1419249,99.359,-107.432,-162.182,0.0032377,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8962936,1,OK,0.6092816,0.4739447,0.1514477,-0.6174269,5.405,-76.953,-243.526,0.0202589,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8962936,1,OK,0.6924627,0.5450744,-0.3161075,0.3513763,-15.157,-2.031,-304.575,0.0492110,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8962944,1,OK,0.6945028,-0.4082282,-0.5752267,-0.1418798,99.359,-107.436,-162.172,0.0028006,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8962944,1,OK,0.6091924,0.4738777,0.1515410,-0.6175434,5.401,-76.966,-243.536,0.0201974,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8962944,1,OK,0.6925088,0.5450820,-0.3160510,0.3513245,-15.170,-2.031,-304.564,0.0509411,0
