Tools,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840744,1,OK,0.8539094,0.3538941,0.2612275,-0.2781331,-2.289,23.118,-310.265,0.0445083,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840744,1,OK,0.6822963,-0.3882339,-0.5838126,-0.2071451,86.905,-115.280,-161.940,0.0048376,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840752,1,OK,0.8538156,0.3538937,0.2612613,-0.2783893,-2.259,23.142,-310.242,0.0425379,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840752,1,OK,0.6823964,-0.3885535,-0.5836005,-0.2068136,86.906,-115.279,-161.937,0.0023350,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840760,1,OK,0.8537689,0.3538187,0.2613757,-0.2785205,-2.267,23.139,-310.238,0.0423540,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840760,1,OK,0.6824083,-0.3885008,-0.5836151,-0.2068320,86.908,-115.279,-161.955,0.0033302,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840768,1,OK,0.8536820,0.3536891,0.2615348,-0.2788023,-2.261,23.129,-310.251,0.0428873,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840768,1,OK,0.6823787,-0.3884296,-0.5836594,-0.2069382,86.908,-115.278,-161.948,0.0042063,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840776,1,OK,0.8535972,0.3536783,0.2616392,-0.2789773,-2.257,23.147,-310.259,0.0426023,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840776,1,OK,0.6824732,-0.3887444,-0.5834608,-0.2065953,86.907,-115.282,-161.943,0.0023988,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840784,1,OK,0.8535584,0.3537608,0.2616436,-0.2789874,-2.270,23.166,-310.231,0.0382012,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840784,1,OK,0.6824590,-0.3886758,-0.5835041,-0.2066489,86.913,-115.281,-161.956,0.0023708,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840792,1,OK,0.8535894,0.3536973,0.2615972,-0.2790166,-2.265,23.146,-310.210,0.0377144,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840792,1,OK,0.6824558,-0.3886512,-0.5835062,-0.2066998,86.906,-115.281,-161.950,0.0027087,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840800,1,OK,0.8536434,0.3536994,0.2615368,-0.2789054,-2.265,23.137,-310.219,0.0364474,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840800,1,OK,0.6825220,-0.3888304,-0.5833771,-0.2065086,86.903,-115.281,-161.942,0.0027650,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840808,1,OK,0.8535735,0.3536354,0.2616592,-0.2790856,-2.272,23.142,-310.227,0.0352184,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840808,1,OK,0.6825071,-0.3888588,-0.5833744,-0.2065121,86.906,-115.281,-161.926,0.0026891,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840816,1,OK,0.8535840,0.3536475,0.2616320,-0.2790635,-2.268,23.142,-310.225,0.0355702,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840816,1,OK,0.6825341,-0.3888887,-0.5833287,-0.2064956,86.901,-115.277,-161.927,0.0024740,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840824,1,OK,0.8535519,0.3537304,0.2615942,-0.2790921,-2.257,23.161,-310.178,0.0337964,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840824,1,OK,0.6825487,-0.3888857,-0.5833177,-0.2064838,86.900,-115.276,-161.935,0.0025593,0
