Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785768,1,OK,0.6932932,0.2918756,0.0046077,-0.6588869,0.494,-18.534,-168.345,0.0370477,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785768,1,OK,0.8815715,0.4330616,-0.0696144,0.1744799,1.604,59.025,-241.858,0.0445479,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785768,1,OK,0.7049637,-0.3989752,-0.5528711,-0.1953935,100.346,-119.936,-161.876,0.0043292,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785776,1,OK,0.6947856,0.2926196,0.0039849,-0.6569863,0.266,-18.682,-168.533,0.0338999,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785776,1,OK,0.8816680,0.4329946,-0.0691492,0.1743432,1.678,59.061,-241.770,0.0454334,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785776,1,OK,0.7049430,-0.3989209,-0.5529047,-0.1954840,100.337,-119.938,-161.864,0.0049492,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785784,1,OK,0.6940804,0.2932794,0.0034800,-0.6574401,-0.070,-18.510,-168.826,0.0403749,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785784,1,OK,0.8817877,0.4326710,-0.0691353,0.1745466,1.715,59.124,-241.728,0.0466615,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785784,1,OK,0.7049798,-0.3990108,-0.5528228,-0.1953992,100.331,-119.939,-161.855,0.0046606,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785792,1,OK,0.6974406,0.2932369,0.0009092,-0.6539021,-0.283,-18.196,-168.816,0.0352597,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785792,1,OK,0.8819225,0.4325967,-0.0689090,0.1741391,1.723,59.212,-241.606,0.0485537,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785792,1,OK,0.7049882,-0.3990457,-0.5528077,-0.1953402,100.333,-119.944,-161.865,0.0051320,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785800,1,OK,0.6979893,0.2929502,0.0001469,-0.6534455,-0.419,-17.953,-168.665,0.0368264,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785800,1,OK,0.8818592,0.4321885,-0.0694480,0.1752553,1.733,59.256,-241.490,0.0468018,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785800,1,OK,0.7049773,-0.3990076,-0.5528409,-0.1953632,100.334,-119.945,-161.867,0.0041022,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785808,1,OK,0.6974061,0.2928549,0.0002405,-0.6541106,-0.171,-18.100,-168.921,0.0364590,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785808,1,OK,0.8820851,0.4319435,-0.0693215,0.1747718,1.727,59.285,-241.533,0.0468212,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785808,1,OK,0.7050128,-0.3990526,-0.5527915,-0.1952834,100.332,-119.945,-161.876,0.0026019,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785816,1,OK,0.7002355,0.2921581,-0.0006964,-0.6513935,-0.002,-17.924,-169.055,0.0419241,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785816,1,OK,0.8821751,0.4321411,-0.0689744,0.1739649,1.685,59.323,-241.508,0.0475132,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785816,1,OK,0.7051076,-0.3992997,-0.5525960,-0.1949888,100.334,-119.943,-161.886,0.0044663,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785824,1,OK,0.7039796,0.2917022,-0.0032974,-0.6475428,0.335,-17.430,-169.098,0.0378385,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785824,1,OK,0.8822476,0.4316821,-0.0692067,0.1746428,1.661,59.330,-241.380,0.0456806,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785824,1,OK,0.7050066,-0.3990302,-0.5528176,-0.1952775,100.344,-119.942,-161.898,0.0041850,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785832,1,OK,0.7076858,0.2897286,-0.0036770,-0.6443792,0.766,-16.902,-168.405,0.0447499,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785832,1,OK,0.8822921,0.4314664,-0.0693457,0.1748961,1.711,59.308,-241.278,0.0433749,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785832,1,OK,0.7048772,-0.3986476,-0.5531098,-0.1956982,100.352,-119.940,-161.906,0.0060910,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785840,1,OK,0.7070957,0.2882475,-0.0018062,-0.6456979,1.359,-17.136,-168.163,0.0426348,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785840,1,OK,0.8818759,0.4315215,-0.0701284,0.1765393,1.663,59.207,-241.414,0.0544610,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785840,1,OK,0.7048606,-0.3985952,-0.5531563,-0.1957333,100.353,-119.942,-161.910,0.0059493,0
