Tools,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2810888,1,OK,93.2323139,4.4558251,-93.2421236,-5.6650934,57.990,-33.444,-169.582,0.0500417,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2810896,1,OK,93.2482738,4.4556534,-93.2581313,-5.6944765,57.967,-33.487,-169.507,0.0495517,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2810904,1,OK,93.2609679,4.4991476,-93.2710586,-5.7190241,58.221,-33.404,-169.438,0.0508954,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2810912,1,OK,93.2438299,4.4857068,-93.2538074,-5.6879850,58.193,-33.386,-169.441,0.0509272,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2810920,1,OK,93.2353844,4.4714950,-93.2452728,-5.6726394,58.184,-33.380,-169.459,0.0524759,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2810928,1,OK,93.2022797,4.4620420,-93.2120252,-5.6122353,57.987,-33.441,-169.516,0.0463210,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2810936,1,OK,93.2127301,4.4562087,-93.2224818,-5.6303528,57.983,-33.433,-169.535,0.0474487,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2810944,1,OK,93.2178792,4.4461527,-93.2276025,-5.6386824,57.987,-33.422,-169.550,0.0485910,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2810952,1,OK,93.2148144,4.4338673,-93.2244747,-5.6317251,57.996,-33.429,-169.563,0.0483426,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2810960,1,OK,93.0283234,4.3799954,-93.0372019,-5.2974288,58.308,-33.358,-169.424,0.0313192,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2810968,1,OK,93.0056886,4.3820591,-93.0145089,-5.2523199,58.243,-33.458,-169.424,0.0335913,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2810976,1,OK,93.0530557,4.3723793,-93.0619756,-5.3352623,58.209,-33.758,-169.781,0.0462421,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2810984,1,OK,93.0625249,4.3638271,-93.0714376,-5.3485553,58.292,-33.896,-170.053,0.0558495,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2810992,1,OK,92.8979460,4.3807874,-92.9064447,-5.0619784,58.272,-33.470,-169.312,0.0356967,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,2811000,1,OK,92.8940118,4.3681761,-92.9024500,-5.0548372,58.299,-33.476,-169.309,0.0395442,0
