Tools,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,605864,1,OK,88.2037145,1.1618284,-88.2033450,-3.3686993,51.731,-34.879,-167.846,0.0320673,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,605872,1,OK,88.2020158,1.1626339,-88.2016455,-3.3719664,51.734,-34.876,-167.850,0.0324729,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,605880,1,OK,88.2028281,1.1611151,-88.2024589,-3.3704913,51.733,-34.877,-167.844,0.0321077,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,605888,1,OK,88.2040065,1.1606930,-88.2036378,-3.3682115,51.729,-34.882,-167.846,0.0325282,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,605896,1,OK,88.2025740,1.1626872,-88.2022038,-3.3709030,51.729,-34.876,-167.851,0.0323469,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,605904,1,OK,88.2044993,1.1643007,-88.2041284,-3.3673105,51.730,-34.880,-167.850,0.0319914,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,605912,1,OK,88.2038637,1.1643111,-88.2034926,-3.3684169,51.726,-34.882,-167.849,0.0324155,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,605920,1,OK,88.2060997,1.1644163,-88.2057290,-3.3642614,51.725,-34.889,-167.851,0.0324168,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,605928,1,OK,88.2054456,1.1655561,-88.2050741,-3.3654451,51.723,-34.887,-167.863,0.0321201,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,605936,1,OK,88.2038859,1.1672948,-88.2035130,-3.3683120,51.719,-34.883,-167.871,0.0321462,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,605944,1,OK,88.2014822,1.1670517,-88.2011089,-3.3728211,51.719,-34.874,-167.871,0.0322844,0
