Tools,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6011536,1,OK,0.7044840,-0.4216215,-0.5537752,-0.1388182,95.237,-102.531,-162.073,0.0023370,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6011536,1,OK,0.9129885,0.2571241,0.1259979,-0.2906263,-16.107,64.518,-267.777,0.0438512,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6011544,1,OK,0.7044716,-0.4216762,-0.5537373,-0.1388665,95.230,-102.535,-162.038,0.0011960,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6011544,1,OK,0.9142175,0.2571765,0.1261756,-0.2866119,-15.688,64.614,-268.042,0.0478285,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6011552,1,OK,0.7044954,-0.4218846,-0.5536013,-0.1386549,95.235,-102.534,-162.034,0.0029357,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6011552,1,OK,0.9139880,0.2579966,0.1265283,-0.2864513,-15.544,64.613,-268.478,0.0423614,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6011560,1,OK,0.7045388,-0.4219042,-0.5535635,-0.1385254,95.242,-102.527,-162.067,0.0044619,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6011560,1,OK,0.9143673,0.2580040,0.1262629,-0.2853490,-15.437,64.464,-268.802,0.0416381,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6011568,1,OK,0.7045541,-0.4219596,-0.5535199,-0.1384533,95.240,-102.526,-162.074,0.0050592,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6011568,1,OK,0.9141307,0.2577852,0.1267837,-0.2860730,-15.363,64.464,-268.871,0.0467748,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6011576,1,OK,0.7045779,-0.4220700,-0.5534272,-0.1383661,95.232,-102.524,-162.058,0.0058370,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6011576,1,OK,0.9140883,0.2573649,0.1272011,-0.2864014,-15.351,64.527,-268.762,0.0484501,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6011584,1,OK,0.7045899,-0.4221531,-0.5533655,-0.1382985,95.227,-102.529,-162.043,0.0064123,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6011584,1,OK,0.9142554,0.2574701,0.1268745,-0.2859178,-15.286,64.648,-268.591,0.0443603,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6011592,1,OK,0.7046509,-0.4223492,-0.5531936,-0.1380761,95.222,-102.525,-162.053,0.0080745,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6011592,1,OK,0.9143704,0.2572819,0.1266635,-0.2858131,-15.215,64.693,-268.343,0.0414865,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6011600,1,OK,0.7046530,-0.4222765,-0.5532528,-0.1380510,95.231,-102.520,-162.100,0.0083641,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6011600,1,OK,0.9146120,0.2570705,0.1266895,-0.2852182,-15.281,64.627,-268.305,0.0440422,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6011608,1,OK,0.7045796,-0.4220895,-0.5534326,-0.1382763,95.242,-102.521,-162.098,0.0068491,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6011608,1,OK,0.9139841,0.2571090,0.1272735,-0.2869311,-15.362,64.537,-268.562,0.0465178,0
