Tools	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592184	1	OK	49.7826504	11.6179744	48.7615351	6.8025193	29.685	-9.467	-215.181	0.0516394	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592184	1	OK	50.9930029	13.8818906	49.5825257	-14.7361153	22.887	-6.734	-215.065	0.0197526	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592184	1	OK	55.9564705	-14.7080354	54.6346416	47.2136166	-39.422	-20.050	-215.251	0.0537530	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592184	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592192	1	OK	49.8081817	11.6291476	48.7859901	6.7931087	29.615	-9.374	-215.089	0.0516265	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592192	1	OK	51.0223184	13.9204284	49.6052316	-14.7010053	22.526	-6.689	-214.990	0.0230634	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592192	1	OK	55.9549041	-14.7078834	54.6330243	47.2350843	-39.415	-20.055	-215.247	0.0541894	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592192	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592216	1	OK	49.8013742	11.8083971	48.7463391	7.0036987	29.249	-9.498	-214.940	0.0734658	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592216	1	OK	51.0665255	14.1414656	49.6047553	-14.7029330	21.880	-6.530	-215.076	0.0208385	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592216	1	OK	55.9551162	-14.7240996	54.6302239	47.2562932	-39.419	-20.095	-215.265	0.0546930	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592216	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592224	1	OK	49.8314018	11.9175726	48.7574061	7.0053360	28.721	-9.227	-215.187	0.0465519	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592224	1	OK	51.0393718	14.1658851	49.5709078	-14.6188895	21.871	-6.543	-214.976	0.0222181	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592224	1	OK	55.9567926	-14.7239520	54.6320128	47.2626873	-39.415	-20.123	-215.259	0.0544642	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592224	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592240	1	OK	49.7893129	11.9310834	48.7111841	7.1708500	28.949	-9.409	-214.932	0.0671306	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592240	1	OK	51.0927104	14.2179984	49.6158922	-14.5067772	21.650	-6.429	-215.121	0.0209254	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592240	1	OK	55.9668637	-14.7270606	54.6420142	47.2675460	-39.415	-20.188	-215.257	0.0537595	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592240	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592256	1	OK	49.8546340	11.9126242	48.7824504	6.9774373	28.769	-9.146	-215.049	0.0497033	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592256	1	OK	51.1125931	14.2055068	49.6395345	-14.5017965	21.612	-6.449	-214.975	0.0198744	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592256	1	OK	55.9772206	-14.7238100	54.6535016	47.2271135	-39.410	-20.236	-215.240	0.0551955	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592256	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592272	1	OK	49.8417343	11.9846264	48.7556962	7.0529890	28.621	-9.186	-215.163	0.0470558	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592272	1	OK	51.0913405	14.2220660	49.6135718	-14.4962433	21.498	-6.455	-215.024	0.0200959	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592272	1	OK	55.9959037	-14.7264540	54.6726377	47.1959881	-39.415	-20.302	-215.237	0.0555384	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592272	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592280	1	OK	49.8283108	11.9916884	48.7404325	7.0875260	28.591	-9.203	-215.164	0.0456331	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592280	1	OK	51.0758742	14.2065323	49.6006203	-14.5320710	21.724	-6.461	-215.063	0.0207707	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592280	1	OK	56.0042850	-14.7276202	54.6812259	47.1663730	-39.420	-20.346	-215.249	0.0574483	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592280	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592296	1	OK	49.8335807	12.0092530	48.7426337	7.0818123	28.556	-9.196	-215.157	0.0461670	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592296	1	OK	51.0781283	14.2268560	49.5986137	-14.5060548	21.689	-6.450	-215.069	0.0203272	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592296	1	OK	56.0204326	-14.7119358	54.7011081	47.1440963	-39.403	-20.406	-215.204	0.0570340	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592296	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592304	1	OK	49.8367986	12.0136721	48.7451533	7.0641866	28.541	-9.203	-215.160	0.0468064	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592304	1	OK	51.0813004	14.2322866	49.6007850	-14.5126408	21.672	-6.451	-215.087	0.0204465	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592304	1	OK	56.0257412	-14.7112158	54.7068185	47.1276178	-39.401	-20.429	-215.205	0.0575636	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592304	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
