Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194616,1,OK,0.8752386,0.2424233,-0.0740933,-0.4119447,11.023,-8.546,-157.650,0.0381537,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194616,1,OK,0.6808854,-0.3605426,-0.6090163,-0.1884230,93.178,-107.723,-162.134,0.0049349,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194616,1,OK,0.8832331,0.4240670,-0.1032119,0.1715043,-11.141,49.762,-233.988,0.0479513,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194624,1,OK,0.8752895,0.2424442,-0.0741213,-0.4118192,11.024,-8.542,-157.655,0.0378619,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194624,1,OK,0.6808020,-0.3602861,-0.6091671,-0.1887274,93.175,-107.723,-162.127,0.0068344,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194624,1,OK,0.8832452,0.4240164,-0.1032545,0.1715416,-11.164,49.767,-233.980,0.0480108,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194632,1,OK,0.8753474,0.2424547,-0.0741206,-0.4116902,11.020,-8.541,-157.651,0.0377901,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194632,1,OK,0.6808178,-0.3602856,-0.6091418,-0.1887532,93.174,-107.717,-162.124,0.0062572,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194632,1,OK,0.8832695,0.4239628,-0.1032822,0.1715322,-11.178,49.768,-233.967,0.0476888,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194640,1,OK,0.8753171,0.2424114,-0.0741061,-0.4117826,11.017,-8.543,-157.649,0.0381387,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194640,1,OK,0.6808547,-0.3603501,-0.6090822,-0.1886890,93.169,-107.719,-162.125,0.0048428,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194640,1,OK,0.8832764,0.4239206,-0.1033208,0.1715779,-11.190,49.774,-233.959,0.0478460,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194648,1,OK,0.8753515,0.2423715,-0.0741237,-0.4117300,11.009,-8.548,-157.650,0.0382971,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194648,1,OK,0.6807397,-0.3599638,-0.6093164,-0.1890851,93.166,-107.721,-162.115,0.0062113,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194648,1,OK,0.8833256,0.4239037,-0.1032384,0.1714159,-11.204,49.778,-233.962,0.0477875,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194656,1,OK,0.8753701,0.2423347,-0.0741403,-0.4117090,11.005,-8.552,-157.637,0.0388518,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194656,1,OK,0.6807249,-0.3599252,-0.6093308,-0.1891648,93.159,-107.721,-162.101,0.0063489,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194656,1,OK,0.8833657,0.4238785,-0.1032079,0.1712897,-11.210,49.786,-233.953,0.0478707,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194664,1,OK,0.8754369,0.2423205,-0.0741387,-0.4115757,10.998,-8.552,-157.628,0.0384800,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194664,1,OK,0.6807065,-0.3598911,-0.6093764,-0.1891493,93.172,-107.724,-162.119,0.0055587,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194664,1,OK,0.8833905,0.4238316,-0.1032125,0.1712749,-11.217,49.788,-233.940,0.0477096,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194672,1,OK,0.8754680,0.2423070,-0.0741769,-0.4115105,10.994,-8.555,-157.627,0.0376103,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194672,1,OK,0.6807550,-0.3600597,-0.6092684,-0.1890017,93.165,-107.723,-162.109,0.0045895,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194672,1,OK,0.8833938,0.4237761,-0.1032864,0.1713507,-11.225,49.796,-233.933,0.0476032,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194680,1,OK,0.8754055,0.2423259,-0.0741645,-0.4116346,10.988,-8.555,-157.635,0.0376538,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194680,1,OK,0.6806977,-0.3599682,-0.6093585,-0.1890919,93.182,-107.722,-162.116,0.0053161,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194680,1,OK,0.8833878,0.4237635,-0.1033297,0.1713871,-11.240,49.807,-233.931,0.0477538,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194688,1,OK,0.8753384,0.2423586,-0.0740726,-0.4117745,10.983,-8.551,-157.631,0.0386587,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194688,1,OK,0.6807474,-0.3601222,-0.6092543,-0.1889554,93.178,-107.720,-162.106,0.0036969,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194688,1,OK,0.8833894,0.4237157,-0.1034114,0.1714478,-11.251,49.808,-233.923,0.0477789,0
