Tools,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785264,1,OK,90.8792972,-0.7395117,-90.8793705,1.7578348,51.275,-32.513,-168.107,0.0484515,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785272,1,OK,90.8801822,-0.7408614,-90.8802558,1.7596049,51.277,-32.514,-168.110,0.0481610,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785280,1,OK,90.8791343,-0.7398953,-90.8792076,1.7575089,51.276,-32.513,-168.108,0.0483813,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785288,1,OK,90.8759891,-0.7391782,-90.8760620,1.7512191,51.280,-32.503,-168.097,0.0481722,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785296,1,OK,90.8758732,-0.7398737,-90.8759462,1.7509864,51.277,-32.507,-168.101,0.0483165,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785304,1,OK,90.8758029,-0.7416325,-90.8758763,1.7508472,51.274,-32.508,-168.096,0.0484764,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785312,1,OK,90.8734197,-0.7411637,-90.8734928,1.7460829,51.272,-32.502,-168.094,0.0484311,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785320,1,OK,90.8730205,-0.7423827,-90.8730938,1.7452916,51.272,-32.500,-168.095,0.0491035,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785328,1,OK,90.8739639,-0.7435481,-90.8740375,1.7471779,51.271,-32.503,-168.088,0.0492535,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785336,1,OK,90.8756264,-0.7453404,-90.8757005,1.7505031,51.272,-32.505,-168.078,0.0487433,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785344,1,OK,90.8752585,-0.7463084,-90.8753328,1.7497675,51.271,-32.501,-168.080,0.0489409,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785352,1,OK,90.8734703,-0.7467246,-90.8735445,1.7461936,51.270,-32.496,-168.070,0.0491453,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785360,1,OK,90.8721083,-0.7462087,-90.8721822,1.7434742,51.270,-32.494,-168.075,0.0495868,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785368,1,OK,90.8742954,-0.7478961,-90.8743699,1.7478511,51.268,-32.500,-168.075,0.0500152,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785376,1,OK,90.8755212,-0.7466591,-90.8755956,1.7503031,51.271,-32.500,-168.081,0.0493180,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785384,1,OK,90.8759804,-0.7465434,-90.8760548,1.7512227,51.274,-32.498,-168.087,0.0489899,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785392,1,OK,90.8766914,-0.7460750,-90.8767657,1.7526448,51.273,-32.501,-168.089,0.0494112,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785400,1,OK,90.8796195,-0.7447843,-90.8796938,1.7584983,51.273,-32.508,-168.091,0.0491461,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785408,1,OK,90.8790095,-0.7442737,-90.8790837,1.7572819,51.278,-32.509,-168.102,0.0493206,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785416,1,OK,90.8790160,-0.7442197,-90.8790902,1.7572943,51.278,-32.512,-168.101,0.0494056,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785424,1,OK,90.8779317,-0.7432826,-90.8780056,1.7551231,51.275,-32.510,-168.099,0.0493726,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785432,1,OK,90.8785529,-0.7433534,-90.8786269,1.7563623,51.275,-32.511,-168.095,0.0494736,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785440,1,OK,90.8778584,-0.7439086,-90.8779324,1.7549734,51.275,-32.507,-168.087,0.0497526,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785448,1,OK,90.8782867,-0.7443389,-90.8783608,1.7558296,51.276,-32.507,-168.084,0.0495639,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785456,1,OK,90.8758199,-0.7450551,-90.8758940,1.7509010,51.274,-32.505,-168.076,0.0504029,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785464,1,OK,90.8758222,-0.7447253,-90.8758962,1.7509061,51.272,-32.503,-168.079,0.0505171,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785472,1,OK,90.8766019,-0.7458939,-90.8766762,1.7524677,51.274,-32.504,-168.082,0.0505207,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785480,1,OK,90.8753348,-0.7449348,-90.8754088,1.7499280,51.273,-32.503,-168.085,0.0505945,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785488,1,OK,90.8744229,-0.7448774,-90.8744968,1.7481028,51.274,-32.499,-168.083,0.0506839,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785496,1,OK,90.8729367,-0.7437683,-90.8730103,1.7451307,51.272,-32.492,-168.094,0.0509409,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785504,1,OK,90.8734397,-0.7427399,-90.8735131,1.7461400,51.274,-32.497,-168.093,0.0511363,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785512,1,OK,90.8725545,-0.7409434,-90.8726275,1.7443724,51.275,-32.495,-168.107,0.0508403,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785520,1,OK,90.8724250,-0.7408146,-90.8724979,1.7441131,51.278,-32.492,-168.117,0.0499991,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785528,1,OK,90.8720495,-0.7395365,-90.8721222,1.7433575,51.278,-32.492,-168.127,0.0495819,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785536,1,OK,90.8749934,-0.7390090,-90.8750662,1.7492416,51.278,-32.495,-168.127,0.0491019,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785544,1,OK,90.8750120,-0.7394782,-90.8750849,1.7492763,51.277,-32.494,-168.115,0.0484684,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785552,1,OK,90.8724564,-0.7387324,-90.8725289,1.7441676,51.276,-32.485,-168.111,0.0484767,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785560,1,OK,90.8720828,-0.7379507,-90.8721552,1.7434226,51.277,-32.477,-168.109,0.0478897,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785568,1,OK,90.8733517,-0.7374169,-90.8734241,1.7459602,51.273,-32.476,-168.106,0.0479298,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785576,1,OK,90.8730626,-0.7383520,-90.8731351,1.7453812,51.273,-32.475,-168.099,0.0479412,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785584,1,OK,90.8721217,-0.7395672,-90.8721944,1.7434988,51.273,-32.469,-168.097,0.0479522,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785592,1,OK,90.8720045,-0.7402482,-90.8720773,1.7432635,51.272,-32.469,-168.094,0.0484628,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785600,1,OK,90.8727549,-0.7402471,-90.8728277,1.7447635,51.268,-32.470,-168.083,0.0484809,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785608,1,OK,90.8720070,-0.7417188,-90.8720801,1.7432703,51.267,-32.465,-168.073,0.0490355,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785616,1,OK,90.8702046,-0.7414315,-90.8702775,1.7396617,51.271,-32.461,-168.081,0.0488419,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785624,1,OK,90.8680666,-0.7414480,-90.8681393,1.7353880,51.273,-32.456,-168.091,0.0495043,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785632,1,OK,90.8703115,-0.7422275,-90.8703845,1.7398705,51.276,-32.464,-168.086,0.0493802,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785640,1,OK,90.8687549,-0.7432428,-90.8688280,1.7367619,51.277,-32.469,-168.083,0.0504546,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785648,1,OK,90.8690028,-0.7434995,-90.8690760,1.7372586,51.280,-32.473,-168.086,0.0504529,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785656,1,OK,90.8701659,-0.7427273,-90.8702391,1.7395849,51.279,-32.478,-168.096,0.0501327,0
1,Port 12: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0,3785664,1,OK,90.8702861,-0.7424683,-90.8703592,1.7398251,51.281,-32.479,-168.098,0.0499849,0
