Pattern, Position, Event, EventNo, Timestamp
0,0,TASK_START,0,263323
1,0,PATTERN_START,0,263324
1, 1, SUCCESS, 0, 1868
1, 2, SUCCESS, 0, 2355
1, 3, SUCCESS, 0, 2212
1, 4, SUCCESS, 0, 2538
1, 5, ERROR, 1, 215
1, 5, SUCCESS, 0, 3389
1, 6, SUCCESS, 0, 2561
1,0,PATTERN_FINISH,0,278643
2,0,PATTERN_START,0,283644
2, 1, SUCCESS, 0, 2354
2, 2, ERROR, 1, 189
2, 2, SUCCESS, 0, 3825
2, 3, SUCCESS, 0, 2217
2, 4, SUCCESS, 0, 1636
2, 5, SUCCESS, 0, 3884
2, 6, SUCCESS, 0, 2581
2,0,PATTERN_FINISH,0,300534
3,0,PATTERN_START,0,305534
3, 1, SUCCESS, 0, 3142
3, 2, SUCCESS, 0, 2674
3, 3, SUCCESS, 0, 2286
3, 4, SUCCESS, 0, 2292
3, 5, SUCCESS, 0, 3428
3, 6, SUCCESS, 0, 2041
3,0,PATTERN_FINISH,0,321792
4,0,PATTERN_START,0,371335
4, 1, SUCCESS, 0, 2989
4, 2, SUCCESS, 0, 2132
4, 3, SUCCESS, 0, 1882
4, 4, SUCCESS, 0, 1998
4, 5, SUCCESS, 0, 3466
4, 6, SUCCESS, 0, 3215
4,0,PATTERN_FINISH,0,387412
5,0,PATTERN_START,0,392413
5, 1, SUCCESS, 0, 2518
5, 2, SUCCESS, 0, 2174
5, 3, SUCCESS, 0, 2379
5, 4, SUCCESS, 0, 1322
5, 5, ERROR, 1, 164
5, 5, ERROR, 2, 165
5, 5, SUCCESS, 0, 2819
5, 6, SUCCESS, 0, 2636
5,0,PATTERN_FINISH,0,406658
6,0,PATTERN_START,0,411658
6, 1, SUCCESS, 0, 2387
6, 2, SUCCESS, 0, 2610
6, 3, SUCCESS, 0, 1443
6, 4, ERROR, 1, 676
6, 4, ERROR, 2, 681
6, 4, ERROR, 3, 689
6, 4, ERROR, 4, 1007
6, 4, ERROR, 5, 1008
6, 4, ERROR, 6, 1011
6, 4, ERROR, 7, 1013
6, 4, ERROR, 8, 1015
6, 4, SUCCESS, 0, 2186
6, 5, SUCCESS, 0, 3194
6, 6, SUCCESS, 0, 1721
6,0,PATTERN_FINISH,0,425593
0,0,TASK_FINISH,0,425593

